wijk_name,green_percentage,mean_ndvi,total_pixels,green_pixels,area_ha
Daalmeer Zuid-West,76.17554858934169,0.508962,2552,1944,70.20665191326428
Overstad,28.683035714285715,0.22230968,2688,771,59.71898534390962
De Nollen,37.83055125337004,0.27068594,17433,6595,143.05459521666234
De Hoef III en IV,70.33268101761252,0.47611693,5110,3594,122.33613685670656
Burgemeesterskwartier,61.12588652482269,0.40499556,2256,1379,29.560894613040514
Koedijk / De Weijdt,56.43143544506817,0.36284223,12470,7037,118.24738127714352
De Horn Zuid,76.32004310344827,0.5031034,3712,2833,98.00227163312135
De Mare Centrum,74.65918203688852,0.52885294,4988,3724,99.80706946246335
Emmakwartier,57.647058823529406,0.39848143,1360,784,29.87533898281401
Cranenbroek,90.52380952380953,0.62811536,2100,1901,31.294877333543344
Landelijk Gebied Noord,52.82559880239521,0.34835127,10688,5646,189.67753082623173
Kooimeer,52.06349206349207,0.34659538,2520,1312,53.92501745156308
Overdie - West,61.86046511627907,0.41444534,2150,1330,40.636906206196095
Beverkoog,34.157637912496895,0.25773463,12091,4130,179.59635490975418
Huiswaard 2 Oost,69.24951267056531,0.46300563,2052,1421,43.925120091714575
Oudorperpolder - Noord,81.81818181818183,0.5062976,1012,828,27.400552024077832
Binnenstad - West,35.80379520229145,0.2962433,2793,1000,66.23299953432792
De Hoef I en II,79.54716981132076,0.52751803,3975,3162,84.63185763410945
Het Rak Noord,73.39578454332553,0.4901941,4270,3134,96.34691732823255
Overdie - Oost,69.79472140762464,0.46012247,2046,1428,46.82489152111857
Staatslieden - Landstratenkwartier,64.11111111111111,0.42589805,1800,1154,36.19864156946249
Oud Rochdale,57.161803713527846,0.3682358,754,431,14.201327572389824
Oudorp Centrum,83.43012001548587,0.5167499,2583,2155,75.64806737488048
Nassaukwartier en Hout,71.07287449392713,0.5200815,4940,3511,99.44792819402721
Zuid,55.108447488584474,0.38399097,21024,11586,429.7647950935003
Oranjepark,67.4331704512791,0.48109767,3479,2346,79.53230610442027
Bloemwijk - Zocherstraat,57.738095238095234,0.38190746,1512,873,27.74941649702612
Spoorbuurt,28.931451612903224,0.24144945,1984,574,41.69745360661219
Oudorperpolder - Midden,74.63617463617463,0.4774524,962,718,18.206420167495363
Dillenburg - Stadhouderskwartier,66.23376623376623,0.4194585,1386,918,27.9790467752134
Bergermeer,83.04273504273503,0.55087304,2925,2429,76.6369747219069
Muiderwaard,71.74603174603175,0.5103509,630,452,13.165904664357155
Huiswaard 2 West,83.2688588007737,0.5241048,2068,1722,52.938516323222025
De Horn Noord,77.52046783625731,0.51256555,4275,3314,81.87383122306196
Daalmeer Zuid-Oost,71.71934865900383,0.46445864,4176,2995,74.41068896280704
Vroonermeer,55.42437360619179,0.3648163,7623,4225,137.94846961761658
Huiswaard,73.14369658119658,0.49455112,7488,5477,188.26540937855512
Vroonermeer Zuid,59.55528846153846,0.38797915,3328,1982,82.19781189761635
Vroonermeer Noord,44.175824175824175,0.3068985,2730,1206,55.750657720000206
Schermerhorn,55.44110800744879,0.38796037,51552,28581,1035.684642096368
Oterleek,62.942652662886886,0.4334831,86072,54176,1653.7320690965325
Ursem,73.17876055531701,0.5143529,20961,15339,528.1685661695776
Boekelermeer - Noord,43.497347722699836,0.30848724,10934,4756,256.40664298361565
Schermereiland - Omval,54.09045409045409,0.38891488,10989,5944,173.43690220323094
Oudorp Noord en Oost,70.15153834379305,0.47436553,19599,13749,301.4084297013276
Oudorperpolder - Zuid,72.80701754385966,0.48667693,2850,2075,47.13873437947696
Rekerbuurt en Ooievaarsnest,65.47619047619048,0.45389205,4200,2750,80.60710097835799
Landelijk Gebied West,58.50923792957548,0.4169279,42542,24891,638.8634362476772
Het Rak Zuid,76.63894324853229,0.5183694,4088,3133,109.24963903268038
Daalmeer Noord-West,79.84449760765551,0.51620626,1672,1335,46.79364300951074
Daalmeer Noord-Oost,76.54761904761904,0.5056042,2520,1929,68.0363446056744
Graft-De Rijp,65.07514013549297,0.46457624,145395,94616,3573.407608138827
Schermer,58.40355227256222,0.41141802,481945,281473,10584.310363899336
Oudorp,61.02838010204081,0.41911367,62720,38277,1046.4971559592414
Overdie,51.76416720534368,0.361679,37128,19219,1011.7342612339141
West,58.53449789325843,0.41640118,45568,26673,1048.147429280818
De Mare,71.67078952793238,0.47718808,19404,13907,485.27972867955947
Daalmeer/Koedijk,55.77217553688142,0.36596894,26775,14933,567.3722406284512
Noordeinde,95.53711243344817,0.66536045,12772,12202,246.85210926539145
De Rijp,63.9484607402283,0.4551167,34692,22185,637.7940708799067
Stompetoren,80.252499576343,0.5597811,118020,94714,1833.8269881336876
Zuidschermer,80.4943953051445,0.5718999,142113,114393,2949.9685210221696
Driehuizen,90.54195804195804,0.61324733,34320,31074,734.9835124066338
Grootschermer,79.55547313009116,0.56600744,70097,55766,1847.94596660319
Boekelermeer - Zuid,44.74982381959126,0.3129363,18447,8255,493.8363659830343
Bergerhof en Blaeustraat kwartier,67.77192982456141,0.4451229,5700,3863,90.82764373003069
Huiswaard 1 Zuid,68.7196715192236,0.45610905,2679,1841,78.23586829926133
Oosterhout,51.84158415841584,0.38806003,5050,2618,126.70004019184101
Centrum,38.71034625751607,0.29699183,9646,3734,219.75848789275423
Binnenstad - Oost,28.322440087145967,0.24443418,2295,650,52.1090346414438
Oud - Overdie,52.11589782691575,0.43560272,2623,1367,47.3453654278066
Bergerwegkwartier,74.97326203208556,0.4629878,1870,1402,34.85137793509112
Graft,96.00228658536587,0.6737213,26240,25191,612.2339452799109
Oost-Graftdijk,88.30078794107571,0.6310708,11676,10310,226.06845723984358
Starnmeer,76.43029814665591,0.5574311,52122,39837,1116.7769507425394
Markenbinnen,80.35281909373919,0.59463155,11564,9292,239.50544835642333
West-Graftdijk,93.05434042966851,0.6176525,20574,19145,494.17521378136297
